N1;N314;N279;N312;D1806;D1801;N345;D1811;D1812;D1802;D1803;N18;N133;N346_old;D3_1;N350;D3;N134;N347;N138;N139;N559;N560;N561;N562;N1_1;D1804;N557;D40;D41;N314_2;N346;N459;N10;D3101;D3217;N1002;D1752;N279_1;N1128;N1030;N14;N1_2;D40_2;D41_2;N1158;D428;N279_2;D3_2;D09;N1626;N269_1;N269_2;D85;D306;N279_3;IsMerge;IsDouble;FID_Entity;N2043;N2047;RC;RN;D428_1;N2218;FID_Filial_no_head;N2260;SYNC;D85_SYNC;D85_TCUN;D428_1P
249;31;8601;1;False;;86;False;True;;;МП "ПАМЯТЬ";False;;;False;860101001;8601000345;10.05.2000 0:00:00;271  34486;271  32439;False;False;False;False;0;;False;;06.08.2003 0:00:00;31;00169012;;;;False;1028600515492;06.08.2003 12:47:00;8601;24.12.2002 0:00:00;;86025;7849;;06.08.2003 0:00:00;True;0;8601;860101001;0;;0;400;11.07.2007 19:06:00;08.08.2014 17:57:00;0   ;0;0;3883716;3;1;;;;;;;;;;
250;32;8601;1;False;;;True;True;;;ИЧП "ГУЛЬТЯЕВ И К";False;;;False;860101010;8601000352;;271  43107; ;False;False;False;False;0;;False;12.01.1993 0:00:00;07.11.2006 0:00:00;32;;;;;False;1068601012578;;8601;07.11.2006 0:00:00;;86025;7849;12.01.1993 0:00:00;07.11.2006 0:00:00;True;0;8601;860101010;0;;0;382;11.07.2007 19:06:00;09.07.2014 8:11:00;;0;0;;;;;;;;;;;;;
251;33;8601;1;False;;;True;True;;;ЧП "ЖУРНАЛ СТЕРХ";False;;;False;860101001;8601000360;;271  42763; ;False;False;False;False;0;;False;27.07.2010 0:00:00;28.08.2007 0:00:00;33;;;;;False;1078601003381;;8601;28.08.2007 0:00:00;;86025;7849;27.07.2010 0:00:00;28.08.2007 0:00:00;True;0;8601;860101001;0;;0;4;11.07.2007 19:06:00;03.07.2014 20:02:00;;0;0;946339;3;1;;;;;;;;;;
252;34;8601;1;False;;86;True;True;;;ГП "Тендерресурс"             ф   232;False;;860101001;False;860101001;8601000377;04.02.2005 0:00:00;(34671)26316;271  36789;False;False;False;False;0;;False;18.12.1992 0:00:00;17.05.2013 0:00:00;34;000863685;;;;False;1028600509189;17.05.2013 0:00:00;8601;05.02.2004 0:00:00;;86025;7849;30.06.1992 0:00:00;17.05.2013 0:00:00;True;0;8601;860101001;0;;0;382;11.07.2007 19:06:00;27.02.2017 12:15:00;;0;0;3772315;1;;;;1178;;;1;1;29.01.2017 20:43:00;24.02.2015 0:00:00;1178
253;35;8601;1;False;;;True;True;;;ИЧФ "ФАКЕЛ";False;;;False;860101001;8601000384;;271  93536; ;False;False;False;False;0;;False;02.09.1992 0:00:00;02.11.2006 0:00:00;35;;;;;False;1068601012534;;8601;02.11.2006 0:00:00;;86025;7849;02.09.1992 0:00:00;02.11.2006 0:00:00;True;0;8601;860101001;0;;0;4;11.07.2007 19:06:00;03.07.2014 20:02:00;;0;0;116160;3;1;;;;;;;;;;
254;264;8601;1;False;;86;True;True;;;ЭКОЛОГИЧЕСКИЙ ФОНД ХМАО;False;;;False;860101001;8601000391;03.08.1999 0:00:00;271  31584;271  31969;False;False;False;False;0;;False;21.12.1992 0:00:00;02.07.2001 0:00:00;264;0014117;;;;False;;28.12.2001 12:36:00;8601;;;;;21.12.1992 0:00:00;02.07.2001 0:00:00;True;0;8601;860101001;0;;0;382;11.07.2007 19:06:00;09.07.2014 8:11:00;;0;0;;;;;;;;;;;;;
255;37;8601;1;False;;86;True;True;;;АССОЦИАЦИЯ КРЕСТЬЯНСКИХ ХОЗЯЙСТВ ХМАО "АККО";False;;860101001;False;860101001;8601000401;16.05.2001 0:00:00;34677 21604;;True;False;False;False;0;;False;28.02.1991 0:00:00;;37;00649243;;;;False;1028600515217;;8601;23.12.2002 0:00:00;;86042;601355;28.02.1991 0:00:00;;True;0;8601;860101001;0;;0;382;11.07.2007 19:06:00;18.09.2017 15:04:00;;0;0;3883480;1;;;;1177;;;1;1;18.09.2017 15:04:00;10.12.2014 0:00:00;1177
256;38;8601;1;False;;86;True;True;;;ООО "ПРЕСТИЖ";False;;860101001;False;860101001;8601000419;16.12.1999 0:00:00;34671 34671;27957;True;False;False;False;0;;False;18.03.1992 0:00:00;;38;0014358;;;;False;1028600511818;;8601;23.11.2002 0:00:00;;86038;103436;18.03.1992 0:00:00;;True;0;8601;860101001;0;;0;382;11.07.2007 19:06:00;17.08.2017 13:03:00;;0;0;3774377;1;;;;1177;;;1;1;17.08.2017 13:03:00;10.12.2014 0:00:00;1177
257;1644808;8601;1;False;;86;True;True;;;М ДЭП;False;;860101001;False;860101001;8601000426;16.07.2003 0:00:00;3467133251;271  32411;True;False;False;False;0;;False;27.08.1997 0:00:00;;1644808;00817151;;;;False;1028600515327;;8601;23.12.2002 0:00:00;;86038;103436;31.03.1992 0:00:00;;True;0;8601;860101001;1;;0;382;11.07.2007 19:06:00;14.02.2018 5:40:00;;0;0;3883610;1;;;;1178;;;1;1;14.02.2018 5:33:00;24.02.2015 0:00:00;1178
258;76;8601;1;False;;;True;True;;;КООПУНИВЕРМАГ;False;;;False;         ;8601000433;;271  33104;;True;False;False;False;0;;False;30.06.1992 0:00:00;;76;;;;;False;;;8601;;;;;14.01.1992 0:00:00;;True;0;8601;         ;0;;0;382;11.07.2007 19:06:00;09.07.2014 8:11:00;;0;0;;;;;;;;;0;;;;
259;40;8601;1;False;;;True;True;;;СТ "ВИДЕОКАНАЛ САМАРОВО";False;;;False;         ;8601000440;;271  33350;;True;False;False;False;0;;False;30.06.1992 0:00:00;;40;;;;;False;;;8601;;;;;30.06.1992 0:00:00;;True;0;8601;         ;0;;0;382;11.07.2007 19:06:00;09.07.2014 8:11:00;;0;0;;;;;;;;;0;;;;
260;41;8601;1;False;;86;True;True;;;ПОУ ХМАШ ДОСААФ РОССИИ;False;;860101001;False;860101001;8601000458;23.03.2011 0:00:00;271  33491;;True;False;False;False;0;;False;18.05.1993 0:00:00;;41;002161447;;;;False;1028600510762;;8601;04.11.2002 0:00:00;;86042;601355;30.06.1992 0:00:00;;True;0;8601;860101001;0;;0;382;11.07.2007 19:06:00;23.02.2018 5:45:00;;0;0;3773500;1;;;;1178;;;1;1;23.02.2018 5:44:00;24.02.2015 0:00:00;1178
261;42;8601;1;False;;;True;True;;;ТОО "МОНТАЖНИК";False;;;False;860101010;8601000465;;271  43055; ;False;False;False;False;0;;False;14.07.1992 0:00:00;07.11.2006 0:00:00;42;;;;;False;1068601012699;;8601;07.11.2006 0:00:00;;86025;7849;14.07.1992 0:00:00;07.11.2006 0:00:00;True;0;8601;860101010;0;;0;382;11.07.2007 19:06:00;09.07.2014 8:11:00;;0;0;;;;;;;;;;;;;
262;54;8601;1;False;;;False;True;;;НАЗЫМСКАЯ НГРЭ ОАО "ХМНЕФТЕГАЗГЕОЛОГИЯ";False;;;False;860101010;8601000472;;271  42261;;False;False;False;False;0;;False;25.10.1995 0:00:00;18.09.1995 0:00:00;54;;;;;False;;18.09.1995 0:00:00;8601;;;;;25.10.1995 0:00:00;18.09.1995 0:00:00;True;0;8601;860101010;0;;0;382;11.07.2007 19:06:00;09.07.2014 8:11:00;;0;0;;;;;;;;;;;;;
263;48;8601;1;False;;;True;True;;;ТОО "САМХО";False;;860101001;False;860101001;8601000480;;271  40042; ;False;False;False;False;0;;False;14.05.1992 0:00:00;22.06.2017 0:00:00;48;;;;;False;1178617010978;;8601;22.06.2017 0:00:00;22.06.2017 0:00:00;86038;103436;14.05.1992 0:00:00;22.06.2017 0:00:00;True;0;8601;860101001;0;;0;382;11.07.2007 19:06:00;22.06.2017 15:05:00;;0;0;8863882;2;;;;1177;;;1;1;22.06.2017 15:05:00;10.12.2014 0:00:00;1177
264;47;8601;1;False;;;True;True;;;ИЧП "КАМЕРТОН";False;;;False;         ;8601000507;; ; ;True;False;False;False;0;;False;30.06.1992 0:00:00;;47;;;;;False;;;8601;;;;;30.06.1992 0:00:00;;True;0;8601;         ;0;;0;382;11.07.2007 19:06:00;09.07.2014 8:11:00;;0;0;;;;;;;;;0;;;;
265;46;8601;1;False;;;True;True;;;ТОО "ЮГОРСКИЙ";False;;;False;860101010;8601000514;;271  42270; ;False;False;False;False;0;;False;27.01.1993 0:00:00;07.11.2006 0:00:00;46;;;;;False;1068601012700;;8601;07.11.2006 0:00:00;;86025;7849;27.01.1993 0:00:00;07.11.2006 0:00:00;True;0;8601;860101010;0;;0;382;11.07.2007 19:06:00;09.07.2014 8:11:00;;0;0;;;;;;;;;;;;;
266;45;8601;1;False;;;True;True;;;ОАО "ХАНТЫМАНСИЙСКГАЗ";False;;;False;         ;8601000521;;271  30324;;True;False;False;False;0;;False;30.06.1992 0:00:00;;45;;;;;False;;;8601;;;;;30.06.1992 0:00:00;;True;0;8601;         ;0;;0;382;11.07.2007 19:06:00;09.07.2014 8:11:00;;0;0;;;;;;;;;0;;;;
267;44;8601;1;False;;;True;True;;;ИЧП "УРАН";False;;;False;         ;8601000539;; ; ;True;False;False;False;0;;False;30.06.1992 0:00:00;;44;;;;;False;;;8601;;;;;30.06.1992 0:00:00;;True;0;8601;         ;0;;0;382;11.07.2007 19:06:00;09.07.2014 8:11:00;;0;0;;;;;;;;;0;;;;
268;39;8601;1;False;;;True;True;;;ИЧП "РЫТКИН И К";False;;;False;860101001;8601000546;;271  96527; ;False;False;False;False;0;;False;04.12.1993 0:00:00;27.08.2009 0:00:00;39;;;;;False;1068601012710;;8601;07.11.2006 0:00:00;;86025;7849;04.12.1993 0:00:00;27.08.2009 0:00:00;True;0;8601;860101001;0;;0;4;11.07.2007 19:06:00;03.07.2014 20:02:00;;0;0;116313;1;;;;;;;;;;;
269;43;8601;1;False;;;True;True;;;ЧП "КОРЕПАНОВ";False;;;False;860101010;8601000553;;271  41054; ;False;False;False;False;0;;False;06.05.1992 0:00:00;07.11.2006 0:00:00;43;;;;;False;1068601012721;;8601;07.11.2006 0:00:00;;86025;7849;06.05.1992 0:00:00;07.11.2006 0:00:00;True;0;8601;860101010;0;;0;382;11.07.2007 19:06:00;09.07.2014 8:11:00;;0;0;;;;;;;;;;;;;
270;53;8601;1;False;;;True;True;;;ИЧП "САПОЖОК";False;;;False;         ;8601000560;; ; ;True;False;False;False;0;;False;30.06.1992 0:00:00;;53;;;;;False;;;8601;;;;;31.12.1991 0:00:00;;True;0;8601;         ;0;;0;382;11.07.2007 19:06:00;09.07.2014 8:11:00;;0;0;;;;;;;;;0;;;;
271;56;8601;1;False;;;True;True;;;ТОО "ГЕРА";False;;;False;860101010;8601000578;;271  33182; ;False;False;False;False;0;;False;29.02.1992 0:00:00;07.11.2006 0:00:00;56;;;;;False;1068601012732;;8601;07.11.2006 0:00:00;;86025;7849;29.02.1992 0:00:00;07.11.2006 0:00:00;True;0;8601;860101010;0;;0;382;11.07.2007 19:06:00;09.07.2014 8:11:00;;0;0;;;;;;;;;;;;;
272;51;8601;1;False;;;True;True;;;ИЧП "МАРКУНАС";False;;;False;860101010;8601000585;;271  43266; ;False;False;False;False;0;;False;05.11.1992 0:00:00;09.11.2006 0:00:00;51;;;;;False;1068601012776;;8601;09.11.2006 0:00:00;;86025;7849;05.11.1992 0:00:00;09.11.2006 0:00:00;True;0;8601;860101010;0;;0;382;11.07.2007 19:06:00;09.07.2014 8:11:00;;0;0;;;;;;;;;;;;;
273;50;8601;1;False;;;True;True;;;ИЧП РУБАНА ФИРМА "РУДЕР";False;;;False;860101010;8601000592;;271  42859; ;False;False;False;False;0;;False;15.01.1992 0:00:00;03.09.2012 0:00:00;50;;;;;False;1128601003420;03.09.2012 0:00:00;8601;03.09.2012 0:00:00;;86025;7849;15.01.1992 0:00:00;03.09.2012 0:00:00;True;0;8601;860101010;0;;0;382;11.07.2007 19:06:00;02.09.2014 8:14:00;;0;0;;;;;;;;;0;;;;
274;55;8601;1;False;;;True;True;;;ТОО ПРЕДПРИЯТИЕ "ШАНС";False;;;False;860532001;8601000602;;271  43394; ;False;False;False;False;0;;False;18.08.2003 0:00:00;09.11.2006 0:00:00;55;;;;;False;1068601012787;;;09.11.2006 0:00:00;;86025;7849;18.08.2003 0:00:00;09.11.2006 0:00:00;True;0;8605;860532001;0;;0;382;11.07.2007 19:06:00;09.07.2014 8:11:00;;0;0;;;;;;;;;;;;;
275;6805889;8601;1;False;;86;True;True;;;ООО "АМУР";False;;860101001;False;860101001;8601000610;13.02.2001 0:00:00;34671 34671;37576;False;False;False;False;0;;False;17.12.2002 0:00:00;15.09.2017 0:00:00;6805889;00532219;;;;False;1028600514381;;8601;17.12.2002 0:00:00;15.09.2017 0:00:00;86038;103436;29.02.1992 0:00:00;15.09.2017 0:00:00;True;0;8601;860101001;0;;0;382;11.07.2007 19:06:00;15.09.2017 12:01:00;;0;0;3784647;1;;;;1177;;;1;1;15.09.2017 12:01:00;10.12.2014 0:00:00;1177
276;1184;8601;1;False;;;True;True;;;ХАНТЫ-МАНСИЙСКОЕ СТРОИТЕЛЬНОЕ УПРАВЛЕНИЕ;False;;;False;         ;8601000627;;271  96240;;True;False;False;False;0;;False;30.06.1992 0:00:00;;1184;;;;;False;;;8601;;;;;31.03.1992 0:00:00;;True;0;8601;         ;0;;0;382;11.07.2007 19:06:00;09.07.2014 8:11:00;;0;0;;;;;;;;;0;;;;
277;109;8601;1;False;;;True;True;;;КОМИТЕТ ПО ГЕОЛОГИИ И ИСПОЛЬЗОВАНИЮ НЕДР ПО ХМАО;False;;;False;         ;8601000634;;271  42172;;True;False;False;False;0;;False;30.06.1992 0:00:00;;109;;;;;False;;;8601;;;;;30.06.1992 0:00:00;;True;0;8601;         ;0;;0;382;11.07.2007 19:06:00;09.07.2014 8:11:00;;0;0;;;;;;;;;0;;;;
278;49;8601;1;False;;86;True;True;;;УФПС ПО ХМАО;False;;860101001;False;860101001;8601000641;25.04.2001 0:00:00;3467 323901-103;-;False;False;False;False;0;;False;27.11.2002 0:00:00;20.05.2016 0:00:00;49;00648936;;;;False;1028600514568;28.12.2010 0:00:00;8601;18.12.2002 0:00:00;;86025;7849;25.05.1993 0:00:00;20.05.2016 0:00:00;True;0;8601;860101001;0;;0;382;11.07.2007 19:06:00;16.02.2018 13:01:00;;0;0;3784815;3;1;;;;;;1;1;16.02.2018 13:00:00;;
279;7529;8601;1;True;;;True;True;;;ФИЛИАЛ ГУ УФПС ПО ХМАО МИНИСТЕРСТВА ПО СВЯЗИ И ИНФОРМАТИЗАЦИИ - ХАНТЫ-МАНСИЙСКИЙ РУФПС;False;;;False;860102001;8601000641;;271  33111;271  32927;False;False;False;False;0;;False;29.01.1998 0:00:00;01.08.2005 13:40:00;7529;;;;;False;;;8601;;;;;29.01.1998 0:00:00;01.08.2005 13:40:00;True;0;8601;860102001;0;;0;382;11.07.2007 19:06:00;09.07.2014 8:11:00;;0;0;;;;;;;;;;;;;
280;61;8601;1;False;;;True;True;;;РЕДАКЦИЯ ЖУРНАЛА "ЮГРА";False;;;False;860101010;8601000659;;271  41225;;False;False;False;False;0;;False;31.10.1990 0:00:00;21.12.2011 0:00:00;61;;;;;False;1118601003773;21.12.2011 0:00:00;8601;21.12.2011 0:00:00;;86025;7849;31.10.1990 0:00:00;21.12.2011 0:00:00;True;0;8601;860101010;0;;0;382;11.07.2007 19:06:00;16.10.2015 9:28:00;;0;0;;;;;;;;;0;;;;
281;5557126;7750;1;True;628012,ХАНТЫ-МАНСИЙСК,УЛ.МИРА,38;77;True;False;;;ПАО "ХАНТЫ-МАНСИЙСКИЙ БАНК ОТКРЫТИЕ";False;;775001001;False;775001001;8601000666;12.11.2014 0:00:00;3467 390600;330219;False;True;False;False;0;;False;15.03.2000 0:00:00;;5557126;014644384;;;;False;1028600001880;;8601;14.08.2002 0:00:00;22.08.2016 0:00:00;77031;412622;27.07.1992 0:00:00;;True;0;7750;775001001;1;;0;382;11.07.2007 19:06:00;03.03.2018 5:38:00;;0;0;3903513;1;;;;1178;;;0;1;03.03.2018 5:34:00;24.02.2015 0:00:00;1178
282;60;8601;1;False;;;True;True;;;ТОО "КАМАЗ АВТОСЕРВИС";False;;;False;860101001;8601000673;;271  42008; ;False;False;False;False;0;;False;19.08.1992 0:00:00;04.06.2012 0:00:00;60;;;;;False;1128601002166;04.06.2012 0:00:00;8601;04.06.2012 0:00:00;;86025;7849;19.08.1992 0:00:00;04.06.2012 0:00:00;True;0;8601;860101001;0;;0;382;11.07.2007 19:06:00;10.06.2016 12:57:00;;0;0;684662;3;1;;;;;;0;;;;
283;341445;8601;1;False;;86;True;True;;;ОАО "АКВА";False;00377069;;False;860101001;8601000680;27.11.2000 0:00:00;93-3-53; ;False;False;False;False;0;;False;29.12.1994 0:00:00;27.04.2004 0:00:00;341445;00377069;;;;False;1048600002330;27.04.2004 14:38:00;8601;23.04.2004 0:00:00;;86025;7849;29.12.1994 0:00:00;27.04.2004 0:00:00;True;0;8601;860101001;0;;0;618;11.07.2007 19:06:00;24.02.2015 16:05:00;;0;0;1272533;4;1;;;;;;;;;;
285;57;8601;1;False;;;True;True;;;ТОО ФИРМА "ЮГРАИМПЭКС";False;;860101001;False;860101001;8601000708;;271  42869; ;True;False;False;False;0;;False;30.04.1993 0:00:00;;57;;;;;False;;;8601;;;;;30.06.1992 0:00:00;;True;0;8601;860101001;0;;0;555;11.07.2007 19:06:00;15.11.2017 18:40:00;;0;0;8863884;2;;;;1177;;;1;1;28.10.2015 18:15:00;10.12.2014 0:00:00;1177
286;298;8601;1;False;;;True;True;;;ИЧФ "БУТКО И К";False;;;False;         ;8601000715;;271  36699;;True;False;False;False;0;;False;30.06.1992 0:00:00;;298;;;;;False;;;8601;;;;;30.06.1992 0:00:00;;True;0;8601;         ;0;;0;382;11.07.2007 19:06:00;09.07.2014 8:11:00;;0;0;;;;;;;;;0;;;;
287;213;8601;1;False;;86;True;True;;;ЗАКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО "ХАНТЫ-МАНСИЙСКАЯ РЕМОНТНО-ЭКСПЛУАТАЦИОННАЯ БАЗА";False;;;False;860101001;8601000722;10.03.2000 0:00:00;8345 8345;32239;False;False;False;False;0;;False;08.07.2002 0:00:00;13.01.2014 0:00:00;213;0014874;;;;False;1028600507066;23.07.2002 17:12:00;8601;08.07.2002 0:00:00;;86025;7849;30.06.1992 0:00:00;13.01.2014 0:00:00;True;0;8601;860101001;0;;0;382;11.07.2007 19:06:00;05.11.2017 10:02:00;;0;0;3922463;1;;;;;;;0;;;;
288;121;8601;1;False;;;True;True;;;ТРАНСПОРТНОЕ ПРЕДПРИЯТИЕ N 1;False;;;False;         ;8601000730;;271  42827;;True;False;False;False;0;;False;30.06.1992 0:00:00;;121;;;;;False;;;8601;;;;;27.06.1992 0:00:00;;True;0;8601;         ;0;;0;382;11.07.2007 19:06:00;09.07.2014 8:11:00;;0;0;;;;;;;;;0;;;;
289;332;8601;1;False;;;True;True;;;ЧП "ОРГТЕХНИКА";False;;;False;         ;8601000747;; ; ;True;False;False;False;0;;False;30.06.1992 0:00:00;;332;;;;;False;;;8601;;;;;23.12.1991 0:00:00;;True;0;8601;         ;0;;0;382;11.07.2007 19:06:00;09.07.2014 8:11:00;;0;0;;;;;;;;;0;;;;
290;144;8601;1;False;;;False;False;;;СП "ЮНИФЕКС ИНТЕРНЕШЕНЕЛ";False;;;False;         ;8601000754;;271  93643; ;False;False;False;False;0;;False;;15.08.1995 0:00:00;144;;;;;False;;;;;;;;;15.08.1995 0:00:00;True;0;;         ;0;;0;382;11.07.2007 19:06:00;09.07.2014 8:11:00;;0;0;;;;;;;;;;;;;
291;174;8601;1;False;;;True;True;;;ЧП "МАМОНОВ ВИКТОР";False;;860101001;False;860101001;8601000761;;271  42008; ;False;False;False;False;0;;False;29.06.1992 0:00:00;07.03.2017 0:00:00;174;;;;;False;1178617003531;;8601;07.03.2017 0:00:00;;86038;103436;29.06.1992 0:00:00;07.03.2017 0:00:00;True;0;8601;860101001;0;;0;382;11.07.2007 19:06:00;21.06.2017 0:29:00;;0;0;8863885;2;;;;1177;;;1;1;21.06.2017 0:29:00;10.12.2014 0:00:00;1177
292;345;8601;1;False;;;True;True;;;ТОО КУЗ "ПТУ-ТЕХНИКУМ";False;;;False;         ;8601000779;;271  41069;;True;False;False;False;0;;False;30.06.1992 0:00:00;;345;;;;;False;;;8601;;;;;16.04.1992 0:00:00;;True;0;8601;         ;0;;0;382;11.07.2007 19:06:00;09.07.2014 8:11:00;;0;0;;;;;;;;;0;;;;
293;487;8601;1;False;;;True;True;;;ТОО "ЭДЕЛЬВЕЙС";False;;;False;860101010;8601000786;;271  92166; ;False;False;False;False;0;;False;17.08.1992 0:00:00;09.11.2006 0:00:00;487;;;;;False;1068601012809;;8601;09.11.2006 0:00:00;;86025;7849;17.08.1992 0:00:00;09.11.2006 0:00:00;True;0;8601;860101010;0;;0;382;11.07.2007 19:06:00;09.07.2014 8:11:00;;0;0;;;;;;;;;;;;;
294;218;8601;1;False;;86;True;True;;;ООО "СПЕЦМОНТАЖСТРОЙ";False;;;False;860101001;8601000793;04.08.1999 0:00:00;271  96401; ;False;False;False;False;0;;False;31.10.1992 0:00:00;07.07.2003 0:00:00;218;0014121;;;;False;;07.07.2003 10:11:00;8601;;;;;31.10.1992 0:00:00;07.07.2003 0:00:00;True;0;8601;860101001;0;;0;382;11.07.2007 19:06:00;09.07.2014 8:11:00;;0;0;6282730;3;1;;;;;;;;;;
295;19617885;8601;1;False;;86;True;True;;;ЗАО "Х-МАНСИЙСКАГРОСНАБ";False;;860101001;False;860101001;8601000803;17.03.2000 0:00:00;271  3-72-49;271  36636;True;False;False;False;0;;False;28.05.1996 0:00:00;;19617885;0033058;;;;False;1028600511070;;8601;15.11.2002 0:00:00;;86038;103436;30.06.1992 0:00:00;;True;0;8601;860101001;0;;0;382;11.07.2007 19:06:00;10.02.2018 5:35:00;;0;0;3773727;1;;;;1178;;;1;1;10.02.2018 5:35:00;24.02.2015 0:00:00;1178
296;75;8601;1;False;;;True;True;;;СП "НОРД-ЭКСПРЕСС";False;;;False;860101001;8601000810;;271  33222; ;False;False;False;False;0;;False;30.04.1993 0:00:00;04.06.2012 0:00:00;75;;;;;False;1128601002221;04.06.2012 0:00:00;8601;04.06.2012 0:00:00;;86025;7849;30.04.1993 0:00:00;04.06.2012 0:00:00;True;0;8601;860101001;0;;0;382;11.07.2007 19:06:00;10.06.2016 12:57:00;;0;0;743779;3;1;;;;;;0;;;;
297;115;8601;1;False;;;True;True;;;МП "УЛЫБКА";False;;;False; ;8601000828;;271  33754;;True;False;False;False;0;;False;30.06.1992 0:00:00;;115;;;;;False;;;8601;;;;;28.02.1992 0:00:00;;True;0;8601;         ;0;;0;382;11.07.2007 19:06:00;09.07.2014 8:11:00;;0;0;;;;;;;;;0;;;;
298;145;8601;1;False;;86;True;True;;;МП "РЕМСТРОЙПРОЕКТ";False;;;False;860101001;8601000835;18.07.2000 0:00:00;271  33576; ;False;False;False;False;0;;False;30.06.1992 0:00:00;24.11.2006 0:00:00;145;0212166;;;;False;1068601013062;24.11.2006 0:00:00;8601;24.11.2006 0:00:00;;86025;7849;30.06.1992 0:00:00;24.11.2006 0:00:00;True;0;8601;860101001;0;;0;4;11.07.2007 19:06:00;03.07.2014 20:02:00;;0;0;116576;3;1;;;;;;;;;;
299;67;8601;1;False;;;True;True;;;МП "СТИЛЬ";False;;;False;860101010;8601000842;;271  36375; ;False;False;False;False;0;;False;28.02.1992 0:00:00;09.11.2006 0:00:00;67;;;;;False;1068601012810;;8601;09.11.2006 0:00:00;;86025;7849;28.02.1992 0:00:00;09.11.2006 0:00:00;True;0;8601;860101010;0;;0;382;11.07.2007 19:06:00;09.07.2014 8:11:00;;0;0;;;;;;;;;;;;;
300;36;8601;1;False;;;True;True;;;ХРППАПБ ПРИ ОТДЕЛЕ АРХИТЕКТУРЫ И ГРАДОСТРОИТЕЛЬСТВ;False;;;False;860101010;8601000850;;271  32477;;True;False;False;False;0;;False;30.04.1992 0:00:00;07.06.2017 14:18:00;36;;;;;False;;;8601;;;;;30.04.1992 0:00:00;07.06.2017 14:18:00;True;0;8601;860101010;0;;0;382;11.07.2007 19:06:00;09.07.2014 8:11:00;;0;0;;;;;;;;;1;;;;
301;1966455;8601;1;False;;86;True;True;;;БУ "ХАНТЫ-МАНСИЙСКАЯ КЛИНИЧЕСКАЯ СТОМАТОЛОГИЧЕСКАЯ ПОЛИКЛИНИКА";False;;860101001;False;860101001;8601000867;28.12.2011 0:00:00;;-;True;False;False;False;0;;False;31.03.2001 0:00:00;;1966455;001971399;;;;False;1028600508925;;8601;20.09.2002 0:00:00;;86038;103436;30.06.1992 0:00:00;;True;0;8601;860101001;1;;0;382;11.07.2007 19:06:00;09.01.2018 9:44:00;;0;0;3772084;1;;;;1178;;;1;1;16.12.2016 0:09:00;24.02.2015 0:00:00;1178
302;65;8601;1;False;;86;True;True;;;ТОО ФИРМА "ПОТОК";False;;;False;860101001;8601000874;30.10.2007 0:00:00;- -;-;False;False;False;False;0;;False;30.03.2007 0:00:00;30.10.2008 0:00:00;65;001632732;;;;False;1068601012820;;8601;09.11.2006 0:00:00;;86025;104364;30.03.2007 0:00:00;30.10.2008 0:00:00;True;0;8601;860101001;0;;0;4;11.07.2007 19:06:00;03.07.2014 20:02:00;;0;0;116410;3;1;;;;;;;;;;
303;210;8601;1;False;;86;True;True;;;ФГУП "РОСПЕЧАТЬ";False;;860101001;False;860101001;8601000881;26.02.2002 0:00:00;34671 34671;33432;False;False;False;False;0;;False;06.06.2002 0:00:00;14.01.2016 0:00:00;210;000826189;;;;False;1028600512335;;8601;29.11.2002 0:00:00;14.01.2016 0:00:00;86038;103436;30.06.1992 0:00:00;14.01.2016 0:00:00;True;0;8601;860101001;0;;0;382;11.07.2007 19:06:00;27.02.2017 12:24:00;;0;0;3782759;1;;;;1177;;;1;1;12.11.2016 16:03:00;10.12.2014 0:00:00;1177
304;64;8601;1;False;;86;True;True;;;БЮРО ТЕХНИЧЕСКОЙ ИНВЕНТАРИЗАЦИИ;False;;;False;860101001;8601000899;24.04.2000 0:00:00;271  32920; ;False;False;False;False;0;;False;31.03.1992 0:00:00;23.07.2002 0:00:00;64;00168450;;;;False;;23.07.2002 9:23:00;8601;;;;;31.03.1992 0:00:00;23.07.2002 0:00:00;True;0;8601;860101001;0;;0;382;11.07.2007 19:06:00;09.07.2014 8:11:00;;0;0;;;;;;;;;;;;;
305;653083;8601;1;False;;86;True;True;;;ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ "ЗАПАДНО-СИБИРСКАЯ ТРАНСПОРТНО-ПРОМЫШЛЕННАЯ КОМПАНИЯ";False;;;False;860101001;8601000909;30.03.2005 0:00:00;(34671)70112; ;False;False;False;False;0;;False;09.12.2003 0:00:00;05.11.2009 0:00:00;653083;000992379;;;;False;1038600007335;;8601;09.12.2003 0:00:00;;86025;7849;16.11.1991 0:00:00;05.11.2009 0:00:00;True;0;8601;860101001;0;;0;382;11.07.2007 19:06:00;28.12.2017 10:01:00;;0;0;6285210;3;1;;;;;;;;;;
306;62;8601;1;False;;86;True;True;;;КИНОТЕАТР "ЛАНГАЛ";False;;;False;860101001;8601000916;01.03.2000 0:00:00;271  42045;;False;False;False;False;0;;False;;19.02.2002 0:00:00;62;0014769;;;;False;;25.02.2002 13:13:00;8601;;;86025;7849;;19.02.2002 0:00:00;True;0;8601;860101001;0;;0;382;11.07.2007 19:06:00;09.07.2014 8:11:00;;0;0;;;;;;;;;;;;;
